Geohash,Latitude_SW,Longitude_SW,Latitude_NE,Longitude_NE,City,County,State,Country,ISO_3166_2,TimezoneName,LocalDate,LocalHour,UTC_Date,UTC_Hour,Pressure,MSLP,Stdev,Version
d59fdp,20.16541,-87.45117,20.1709,-87.44019,,,,,,America/Cancun,2019-02-10,20,2019-02-11,01,101000,,0,1.3
d59ff0,20.1709,-87.45117,20.17639,-87.44019,,,,,,America/Cancun,2019-02-10,20,2019-02-11,01,101000,,0,1.3
d59g49,20.22034,-87.4292,20.22583,-87.41821,,,,,,America/Cancun,2019-02-10,21,2019-02-11,02,101000,101012,0,1.3
d59g4u,20.23682,-87.41821,20.24231,-87.40723,,,,,,America/Cancun,2019-02-10,21,2019-02-11,02,101000,101023,0,1.3
d5f218,21.09375,-86.77002,21.09924,-86.75903,,,,,,America/Cancun,2019-02-10,22,2019-02-11,03,101364,101376,235,1.3
d5f21g,21.11023,-86.75903,21.11572,-86.74805,,,,,,America/Cancun,2019-02-10,20,2019-02-11,01,101071,101082,80,1.3
d5f21u,21.11572,-86.75903,21.12122,-86.74805,,,,,,America/Cancun,2019-02-10,20,2019-02-11,01,101086,101098,94,1.3
9s1fwr,22.97791,-109.7644,22.9834,-109.75342,,,,,,America/Mazatlan,2019-02-11,14,2019-02-11,21,100469,100515,271,1.3
9s1fwr,22.97791,-109.7644,22.9834,-109.75342,,,,,,America/Mazatlan,2019-02-11,15,2019-02-11,22,100660,100706,295,1.3
9s1fzq,23.01636,-109.72046,23.02185,-109.70947,,,,,,America/Mazatlan,2019-02-11,15,2019-02-11,22,100487,100545,368,1.3
9shk1v,23.23059,-106.44653,23.23608,-106.43555,,,,,,America/Mazatlan,2019-02-11,12,2019-02-11,19,100607,100630,185,1.3
d3f70v,10.39856,-75.55298,10.40405,-75.54199,,,,,,America/Bogota,2019-02-11,16,2019-02-11,21,100500,,0,1.3
d3f717,10.38757,-75.53101,10.39307,-75.52002,,,,,,America/Bogota,2019-02-11,15,2019-02-11,20,100500,100544,0,1.3
d3f717,10.38757,-75.53101,10.39307,-75.52002,,,,,,America/Bogota,2019-02-11,10,2019-02-11,15,100963,101007,64,1.3
d3f717,10.38757,-75.53101,10.39307,-75.52002,,,,,,America/Bogota,2019-02-11,11,2019-02-11,16,101000,,0,1.3
d3f728,10.41504,-75.56396,10.42053,-75.55298,,,,,,America/Bogota,2019-02-11,16,2019-02-11,21,100500,,0,1.3
d3f728,10.41504,-75.56396,10.42053,-75.55298,,,,,,America/Bogota,2019-02-11,14,2019-02-11,19,100500,,0,1.3
d59g49,20.22034,-87.4292,20.22583,-87.41821,,,,,,America/Cancun,2019-02-11,14,2019-02-11,19,101000,101011,0,1.3
d59g49,20.22034,-87.4292,20.22583,-87.41821,,,,,,America/Cancun,2019-02-11,17,2019-02-11,22,101000,101011,0,1.3
d59g49,20.22034,-87.4292,20.22583,-87.41821,,,,,,America/Cancun,2019-02-11,10,2019-02-11,15,101158,101170,202,1.3
d59g4u,20.23682,-87.41821,20.24231,-87.40723,,,,,,America/Cancun,2019-02-11,10,2019-02-11,15,101175,101198,216,1.3
d59g4u,20.23682,-87.41821,20.24231,-87.40723,,,,,,America/Cancun,2019-02-11,14,2019-02-11,19,101000,101023,0,1.3
d59g4u,20.23682,-87.41821,20.24231,-87.40723,,,,,,America/Cancun,2019-02-11,17,2019-02-11,22,101000,101023,0,1.3
d5dr8e,21.02234,-86.81396,21.02783,-86.80298,,,,,,America/Cancun,2019-02-11,16,2019-02-11,21,100920,100943,109,1.3
d5dr8e,21.02234,-86.81396,21.02783,-86.80298,,,,,,America/Cancun,2019-02-11,09,2019-02-11,14,101387,101410,196,1.3
d5dr8e,21.02234,-86.81396,21.02783,-86.80298,,,,,,America/Cancun,2019-02-11,15,2019-02-11,20,100930,100953,141,1.3
d5dr8e,21.02234,-86.81396,21.02783,-86.80298,,,,,,America/Cancun,2019-02-11,18,2019-02-11,23,101000,101023,0,1.3
d5drc3,21.0553,-86.78101,21.06079,-86.77002,,,,,,America/Cancun,2019-02-11,09,2019-02-11,14,101375,101387,149,1.3
d5drc3,21.0553,-86.78101,21.06079,-86.77002,,,,,,America/Cancun,2019-02-11,18,2019-02-11,23,101000,101011,0,1.3
d5drc3,21.0553,-86.78101,21.06079,-86.77002,,,,,,America/Cancun,2019-02-11,15,2019-02-11,20,100795,100806,256,1.3
d5drc3,21.0553,-86.78101,21.06079,-86.77002,,,,,,America/Cancun,2019-02-11,16,2019-02-11,21,100874,100885,187,1.3
d5drc3,21.0553,-86.78101,21.06079,-86.77002,,,,,,America/Cancun,2019-02-11,10,2019-02-11,15,101500,101512,0,1.3
d5drc3,21.0553,-86.78101,21.06079,-86.77002,,,,,,America/Cancun,2019-02-11,13,2019-02-11,18,101000,101011,0,1.3
d5drc6,21.06079,-86.78101,21.06628,-86.77002,,,,,,America/Cancun,2019-02-11,18,2019-02-11,23,101000,101011,0,1.3
d5drc6,21.06079,-86.78101,21.06628,-86.77002,,,,,,America/Cancun,2019-02-11,16,2019-02-11,21,100873,100884,192,1.3
d5drc6,21.06079,-86.78101,21.06628,-86.77002,,,,,,America/Cancun,2019-02-11,13,2019-02-11,18,101000,101011,0,1.3
d5drc6,21.06079,-86.78101,21.06628,-86.77002,,,,,,America/Cancun,2019-02-11,09,2019-02-11,14,101379,101391,145,1.3
d5drc6,21.06079,-86.78101,21.06628,-86.77002,,,,,,America/Cancun,2019-02-11,15,2019-02-11,20,100808,100819,242,1.3
d5drc6,21.06079,-86.78101,21.06628,-86.77002,,,,,,America/Cancun,2019-02-11,10,2019-02-11,15,101500,101512,0,1.3
d5drc7,21.06628,-86.78101,21.07178,-86.77002,,,,,,America/Cancun,2019-02-11,18,2019-02-11,23,101000,101011,0,1.3
d5drc7,21.06628,-86.78101,21.07178,-86.77002,,,,,,America/Cancun,2019-02-11,09,2019-02-11,14,101386,101398,138,1.3
